Gene	Sample	Value
DNALI1	NKI_8	0.228
VGLL1	NKI_8	-0.257
PRR15	NKI_8	-0.192
SLC7A2	NKI_8	-0.782
XBP1	NKI_8	-0.027
SCUBE2	NKI_8	-0.098
MYB	NKI_8	-0.214
B3GNT5	NKI_8	0.329
CELSR1	NKI_8	-0.35
NAT1	NKI_8	-0.507
MAGED2	NKI_8	-0.487
VAV3	NKI_8	-1.039
FBP1	NKI_8	-0.034
BCL11A	NKI_8	-0.218
SOD2	NKI_8	0.462
AGR2	NKI_8	-0.616
ERBB4	NKI_8	-0.51
TNFRSF21	NKI_8	0.176
PHGDH	NKI_8	0.107
TFF3	NKI_8	-0.568
STS-1	NKI_8	0.197
TCEAL1	NKI_8	-0.48
GABRP	NKI_8	0.243
FLJ21127	NKI_8	-0.253
BCL2	NKI_8	-0.718
MOAP1	NKI_8	-0.189
ACOT4	NKI_8	-0.407
YBX1	NKI_8	0.333
SOD2	NKI_8	0.399
MREG	NKI_8	-0.199
CDH3	NKI_8	-0.165
C10orf38	NKI_8	0.068
RARRES1	NKI_8	0.649
ABTB2	NKI_8	0.064
RERG	NKI_8	-0.354
ST8SIA1	NKI_8	-0.081
SIRPA	NKI_8	0.399
MICALL1	NKI_8	0.083
CDCA7	NKI_8	0.256
ERBB4	NKI_8	-0.282
QSCN6L1	NKI_8	0.131
CYP2B6	NKI_8	-0.222
CIRBP	NKI_8	-0.359
ERBB3	NKI_8	-0.276
CHCHD5	NKI_8	0.039
LOC124220	NKI_8	-0.289
TMCC2	NKI_8	0.283
DACH1	NKI_8	-0.449
HMGCL	NKI_8	-0.276
NCOA7	NKI_8	0.202
FSCN1	NKI_8	-0.184
KCNN4	NKI_8	0.44
CPEB2	NKI_8	-0.309
CYP2B6	NKI_8	-0.228
AKR7A3	NKI_8	-0.816
FLJ20273	NKI_8	-0.06
JMJD2B	NKI_8	-0.17
CDK2AP1	NKI_8	0.306
HEXIM1	NKI_8	-0.15
SH2D2A	NKI_8	0.489
IFNAR2	NKI_8	0.197
ASNS	NKI_8	0.153
MLZE	NKI_8	0.038
SKP1A	NKI_8	-0.362
MYO5C	NKI_8	-0.46
APOBEC3B	NKI_8	0.331
LRBA	NKI_8	-0.39
UBXD3	NKI_8	-0.135
DSC2	NKI_8	0.074
TEGT	NKI_8	-0.067
EML4	NKI_8	0.35
KARCA1	NKI_8	-0.182
GATA3	NKI_9	0.105
CA12	NKI_9	0
THSD4	NKI_9	-0.11
AFF3	NKI_9	0.103
TBC1D9	NKI_9	-0.275
FOXA1	NKI_9	-0.161
GREB1	NKI_9	-0.149
DNALI1	NKI_9	0.125
VGLL1	NKI_9	-0.472
PRR15	NKI_9	0.178
SLC7A2	NKI_9	-0.496
XBP1	NKI_9	0.126
SCUBE2	NKI_9	0.711
MYB	NKI_9	-0.159
B3GNT5	NKI_9	-0.073
CELSR1	NKI_9	-0.015
NAT1	NKI_9	-0.537
MAGED2	NKI_9	0.008
VAV3	NKI_9	0.091
FBP1	NKI_9	0.154
BCL11A	NKI_9	-0.257
SOD2	NKI_9	-0.128
AGR2	NKI_9	0.381
ERBB4	NKI_9	-0.061
TNFRSF21	NKI_9	-0.369
PHGDH	NKI_9	-0.166
TFF3	NKI_9	0.208
STS-1	NKI_9	-0.071
TCEAL1	NKI_9	0.197
GABRP	NKI_9	-0.503
FLJ21127	NKI_9	0.04
BCL2	NKI_9	-0.115
MOAP1	NKI_9	-0.031
ACOT4	NKI_9	0.404
YBX1	NKI_9	0.031
SOD2	NKI_9	-0.254
MREG	NKI_9	-0.107
CDH3	NKI_9	-0.518
C10orf38	NKI_9	-0.241
RARRES1	NKI_9	-0.152
ABTB2	NKI_9	-0.093
RERG	NKI_9	-0.114
ST8SIA1	NKI_9	-0.016
SIRPA	NKI_9	-0.002
MICALL1	NKI_9	0.053
CDCA7	NKI_9	-0.645
ERBB4	NKI_9	0.108
QSCN6L1	NKI_9	-0.133
CYP2B6	NKI_9	-0.799
CIRBP	NKI_9	-0.053
ERBB3	NKI_9	-0.089
CHCHD5	NKI_9	0.321
LOC124220	NKI_9	0.015
TMCC2	NKI_9	-0.072
DACH1	NKI_9	0.427
HMGCL	NKI_9	0.187
NCOA7	NKI_9	-0.552
FSCN1	NKI_9	-0.015
KCNN4	NKI_9	-0.004
CPEB2	NKI_9	0.317
CYP2B6	NKI_9	-0.64
AKR7A3	NKI_9	0.316
FLJ20273	NKI_9	-0.035
JMJD2B	NKI_9	0.176
CDK2AP1	NKI_9	-0.179
HEXIM1	NKI_9	0.283
SH2D2A	NKI_9	-0.114
IFNAR2	NKI_9	0.107
ASNS	NKI_9	-0.056
MLZE	NKI_9	-0.084
SKP1A	NKI_9	-0.164
MYO5C	NKI_9	-0.176
APOBEC3B	NKI_9	-0.007
LRBA	NKI_9	-0.171
UBXD3	NKI_9	0.1
DSC2	NKI_9	-0.528
TEGT	NKI_9	0.031
EML4	NKI_9	0.007
KARCA1	NKI_9	0.053
GATA3	NKI_11	-0.068
CA12	NKI_11	0.238
THSD4	NKI_11	0.253
AFF3	NKI_11	0.233
TBC1D9	NKI_11	0.38
FOXA1	NKI_11	0.127
GREB1	NKI_11	-0.243
DNALI1	NKI_11	-0.281
VGLL1	NKI_11	-0.519
PRR15	NKI_11	0.12
SLC7A2	NKI_11	0.285
XBP1	NKI_11	0.209
SCUBE2	NKI_11	-0.424
MYB	NKI_11	-0.102
B3GNT5	NKI_11	-0.124
CELSR1	NKI_11	-0.092
NAT1	NKI_11	-0.136
MAGED2	NKI_11	0.021
VAV3	NKI_11	0.044
FBP1	NKI_11	0.083
BCL11A	NKI_11	-0.107
SOD2	NKI_11	-0.096
AGR2	NKI_11	0.084
ERBB4	NKI_11	-0.448
TNFRSF21	NKI_11	-0.049
PHGDH	NKI_11	0.004
TFF3	NKI_11	0.481
STS-1	NKI_11	0.093
TCEAL1	NKI_11	0.2
GABRP	NKI_11	-0.521
FLJ21127	NKI_11	-0.115
BCL2	NKI_11	0.058
MOAP1	NKI_11	0.241
ACOT4	NKI_11	-0.25
YBX1	NKI_11	-0.046
SOD2	NKI_11	-0.149
MREG	NKI_11	0.045
CDH3	NKI_11	-0.676
C10orf38	NKI_11	-0.252
RARRES1	NKI_11	-0.303
ABTB2	NKI_11	-0.142
RERG	NKI_11	-0.391
ST8SIA1	NKI_11	-0.148
SIRPA	NKI_11	0.059
MICALL1	NKI_11	-0.138
CDCA7	NKI_11	-0.347
ERBB4	NKI_11	-0.405
QSCN6L1	NKI_11	-0.145
CYP2B6	NKI_11	-0.679
CIRBP	NKI_11	0.107
ERBB3	NKI_11	-0.151
CHCHD5	NKI_11	-0.127
LOC124220	NKI_11	0.021
TMCC2	NKI_11	-0.15
DACH1	NKI_11	0.258
HMGCL	NKI_11	-0.15
NCOA7	NKI_11	-0.268
FSCN1	NKI_11	-0.004
KCNN4	NKI_11	-0.45
CPEB2	NKI_11	0.352
CYP2B6	NKI_11	-0.624
AKR7A3	NKI_11	0.239
FLJ20273	NKI_11	0.054
JMJD2B	NKI_11	0.092
CDK2AP1	NKI_11	-0.196
HEXIM1	NKI_11	-0.187
SH2D2A	NKI_11	0.139
IFNAR2	NKI_11	0.018
ASNS	NKI_11	0.052
MLZE	NKI_11	-0.019
SKP1A	NKI_11	0.306
MYO5C	NKI_11	0.249
APOBEC3B	NKI_11	0.014
LRBA	NKI_11	0.152
UBXD3	NKI_11	-0.259
DSC2	NKI_11	-0.332
TEGT	NKI_11	-0.118
EML4	NKI_11	0.034
KARCA1	NKI_11	-0.693
GATA3	NKI_12	-1.465
CA12	NKI_12	-0.74
THSD4	NKI_12	-1.199
AFF3	NKI_12	-1.389
TBC1D9	NKI_12	-0.883
FOXA1	NKI_12	-1.786
GREB1	NKI_12	-1.167
DNALI1	NKI_12	-1.081
VGLL1	NKI_12	0.364
PRR15	NKI_12	-1.346
SLC7A2	NKI_12	-0.933
XBP1	NKI_12	-0.687
SCUBE2	NKI_12	-1.18
MYB	NKI_12	-1.012
B3GNT5	NKI_12	0.432
CELSR1	NKI_12	-0.235
NAT1	NKI_12	-0.915
MAGED2	NKI_12	-0.48
VAV3	NKI_12	-1.009
FBP1	NKI_12	-0.704
BCL11A	NKI_12	0.663
SOD2	NKI_12	0.449
AGR2	NKI_12	-1.196
ERBB4	NKI_12	-0.771
TNFRSF21	NKI_12	0.757
PHGDH	NKI_12	0.041
TFF3	NKI_12	-1.489
STS-1	NKI_12	0.388
TCEAL1	NKI_12	-0.644
GABRP	NKI_12	0.512
FLJ21127	NKI_12	-0.336
BCL2	NKI_12	-0.635
MOAP1	NKI_12	-0.461
ACOT4	NKI_12	-0.629
YBX1	NKI_12	0.017
SOD2	NKI_12	0.427
MREG	NKI_12	-0.545
CDH3	NKI_12	0.861
C10orf38	NKI_12	0.191
RARRES1	NKI_12	0.034
ABTB2	NKI_12	0.426
RERG	NKI_12	-0.125
ST8SIA1	NKI_12	0.416
SIRPA	NKI_12	0.247
MICALL1	NKI_12	0.68
CDCA7	NKI_12	0.462
ERBB4	NKI_12	-1.563
QSCN6L1	NKI_12	0.318
CYP2B6	NKI_12	-1.137
CIRBP	NKI_12	-0.115
ERBB3	NKI_12	-0.438
CHCHD5	NKI_12	-0.215
LOC124220	NKI_12	-0.965
TMCC2	NKI_12	0.378
DACH1	NKI_12	-0.443
HMGCL	NKI_12	-0.14
NCOA7	NKI_12	0.261
FSCN1	NKI_12	0.406
KCNN4	NKI_12	0.311
CPEB2	NKI_12	-0.147
CYP2B6	NKI_12	-0.706
AKR7A3	NKI_12	-0.572
FLJ20273	NKI_12	-0.417
JMJD2B	NKI_12	-0.109
CDK2AP1	NKI_12	0.474
HEXIM1	NKI_12	-0.247
SH2D2A	NKI_12	0.179
IFNAR2	NKI_12	0.116
ASNS	NKI_12	0.125
MLZE	NKI_12	0.331
SKP1A	NKI_12	-0.381
MYO5C	NKI_12	-0.389
APOBEC3B	NKI_12	0.617
LRBA	NKI_12	-0.208
UBXD3	NKI_12	-0.44
DSC2	NKI_12	0.657
TEGT	NKI_12	-0.265
EML4	NKI_12	0.105
KARCA1	NKI_12	-0.48
GATA3	NKI_13	-0.127
CA12	NKI_13	-0.36
THSD4	NKI_13	-0.115
AFF3	NKI_13	0.202
TBC1D9	NKI_13	-0.033
FOXA1	NKI_13	0.079
GREB1	NKI_13	0.065
DNALI1	NKI_13	-0.577
VGLL1	NKI_13	-0.415
PRR15	NKI_13	0.107
SLC7A2	NKI_13	-0.616
XBP1	NKI_13	0.103
SCUBE2	NKI_13	0.075
MYB	NKI_13	0.032
B3GNT5	NKI_13	-0.135
CELSR1	NKI_13	0.228
NAT1	NKI_13	-0.34
MAGED2	NKI_13	0.035
VAV3	NKI_13	-0.141
FBP1	NKI_13	0.234
BCL11A	NKI_13	-0.321
SOD2	NKI_13	-0.252
AGR2	NKI_13	-0.508
ERBB4	NKI_13	-0.313
TNFRSF21	NKI_13	-0.322
PHGDH	NKI_13	0.277
TFF3	NKI_13	0.313
STS-1	NKI_13	-0.074
TCEAL1	NKI_13	-0.197
GABRP	NKI_13	-0.386
FLJ21127	NKI_13	-0.091
BCL2	NKI_13	-0.206
MOAP1	NKI_13	0.087
ACOT4	NKI_13	0.331
YBX1	NKI_13	-0.072
SOD2	NKI_13	-0.339
MREG	NKI_13	0.204
CDH3	NKI_13	-0.283
C10orf38	NKI_13	-0.212
RARRES1	NKI_13	-0.428
ABTB2	NKI_13	-0.045
RERG	NKI_13	-0.041
ST8SIA1	NKI_13	-0.235
SIRPA	NKI_13	-0.195
MICALL1	NKI_13	0.035
CDCA7	NKI_13	0.129
ERBB4	NKI_13	-0.07
QSCN6L1	NKI_13	-0.025
CYP2B6	NKI_13	0.25
CIRBP	NKI_13	-0.104
ERBB3	NKI_13	0.13
CHCHD5	NKI_13	0.16
LOC124220	NKI_13	0.094
TMCC2	NKI_13	-0.155
DACH1	NKI_13	0.22
HMGCL	NKI_13	-0.02
NCOA7	NKI_13	-0.313
FSCN1	NKI_13	0.004
KCNN4	NKI_13	-0.405
CPEB2	NKI_13	-0.299
CYP2B6	NKI_13	0.189
AKR7A3	NKI_13	0.185
FLJ20273	NKI_13	-0.294
JMJD2B	NKI_13	0.059
CDK2AP1	NKI_13	-0.036
HEXIM1	NKI_13	-0.099
SH2D2A	NKI_13	-0.421
IFNAR2	NKI_13	0.098
ASNS	NKI_13	0.093
MLZE	NKI_13	-0.06
SKP1A	NKI_13	0.084
MYO5C	NKI_13	-0.182
APOBEC3B	NKI_13	0.124
LRBA	NKI_13	-0.052
UBXD3	NKI_13	0.171
DSC2	NKI_13	-0.274
TEGT	NKI_13	0.119
EML4	NKI_13	0.16
KARCA1	NKI_13	-0.102
GATA3	NKI_14	0.111
CA12	NKI_14	0.101
THSD4	NKI_14	0.057
AFF3	NKI_14	-0.569
TBC1D9	NKI_14	0.364
FOXA1	NKI_14	0.312
GREB1	NKI_14	-0.779
DNALI1	NKI_14	0.187
VGLL1	NKI_14	-0.576
PRR15	NKI_14	0.309
SLC7A2	NKI_14	0.097
XBP1	NKI_14	0.23
SCUBE2	NKI_14	0.881
MYB	NKI_14	0.325
B3GNT5	NKI_14	-0.309
CELSR1	NKI_14	0.453
NAT1	NKI_14	0.659
MAGED2	NKI_14	-0.13
VAV3	NKI_14	0.439
FBP1	NKI_14	0.177
BCL11A	NKI_14	-0.612
SOD2	NKI_14	-0.351
AGR2	NKI_14	0.037
ERBB4	NKI_14	-0.098
TNFRSF21	NKI_14	-0.376
PHGDH	NKI_14	-0.526
TFF3	NKI_14	-0.258
STS-1	NKI_14	-0.136
TCEAL1	NKI_14	0.417
GABRP	NKI_14	-0.535
FLJ21127	NKI_14	0.199
BCL2	NKI_14	0.149
MOAP1	NKI_14	0.075
ACOT4	NKI_14	0.135
YBX1	NKI_14	-0.209
SOD2	NKI_14	-0.311
MREG	NKI_14	0.199
CDH3	NKI_14	-0.461
C10orf38	NKI_14	-0.103
RARRES1	NKI_14	-0.476
ABTB2	NKI_14	-0.089
RERG	NKI_14	-0.034
ST8SIA1	NKI_14	-0.33
SIRPA	NKI_14	-0.184
MICALL1	NKI_14	-0.075
CDCA7	NKI_14	-0.776
ERBB4	NKI_14	-0.045
QSCN6L1	NKI_14	-0.086
CYP2B6	NKI_14	-0.735
CIRBP	NKI_14	0.392
ERBB3	NKI_14	0.208
CHCHD5	NKI_14	0.096
LOC124220	NKI_14	0.165
TMCC2	NKI_14	-0.203
DACH1	NKI_14	0.048
HMGCL	NKI_14	0.134
NCOA7	NKI_14	-0.497
FSCN1	NKI_14	0.008
KCNN4	NKI_14	-0.205
CPEB2	NKI_14	-0.007
CYP2B6	NKI_14	-0.672
AKR7A3	NKI_14	-0.134
FLJ20273	NKI_14	0.132
JMJD2B	NKI_14	0.087
CDK2AP1	NKI_14	-0.176
HEXIM1	NKI_14	0.196
SH2D2A	NKI_14	-0.308
IFNAR2	NKI_14	-0.058
ASNS	NKI_14	-0.359
MLZE	NKI_14	-0.049
SKP1A	NKI_14	0.049
MYO5C	NKI_14	0.038
APOBEC3B	NKI_14	-0.337
LRBA	NKI_14	0.097
UBXD3	NKI_14	0.5
DSC2	NKI_14	-0.295
TEGT	NKI_14	0.016
EML4	NKI_14	-0.139
KARCA1	NKI_14	0.164
GATA3	NKI_17	-0.018
CA12	NKI_17	-0.049
THSD4	NKI_17	0.308
AFF3	NKI_17	0.025
TBC1D9	NKI_17	0.218
FOXA1	NKI_17	0.099
GREB1	NKI_17	0.283
DNALI1	NKI_17	0.006
VGLL1	NKI_17	-0.647
PRR15	NKI_17	-0.043
SLC7A2	NKI_17	0.478
XBP1	NKI_17	0.12
SCUBE2	NKI_17	0.301
MYB	NKI_17	0.384
B3GNT5	NKI_17	-0.158
CELSR1	NKI_17	0.256
NAT1	NKI_17	-0.012
MAGED2	NKI_17	0.58
VAV3	NKI_17	0.053
FBP1	NKI_17	-0.009
BCL11A	NKI_17	-0.495
SOD2	NKI_17	-0.366
AGR2	NKI_17	0.304
ERBB4	NKI_17	-0.214
TNFRSF21	NKI_17	-0.226
PHGDH	NKI_17	-0.573
TFF3	NKI_17	-0.399
STS-1	NKI_17	-0.078
TCEAL1	NKI_17	0.045
GABRP	NKI_17	-0.764
FLJ21127	NKI_17	0.1
BCL2	NKI_17	0.143
MOAP1	NKI_17	0.132
ACOT4	NKI_17	0.105
YBX1	NKI_17	-0.129
SOD2	NKI_17	-0.361
MREG	NKI_17	0.057
CDH3	NKI_17	0.048
C10orf38	NKI_17	-0.002
RARRES1	NKI_17	-0.51
ABTB2	NKI_17	-0.29
RERG	NKI_17	0.322
ST8SIA1	NKI_17	-0.273
SIRPA	NKI_17	-0.091
MICALL1	NKI_17	-0.175
CDCA7	NKI_17	-0.601
ERBB4	NKI_17	-0.195
QSCN6L1	NKI_17	-0.274
CYP2B6	NKI_17	0.007
CIRBP	NKI_17	0.192
ERBB3	NKI_17	0.183
CHCHD5	NKI_17	-0.066
LOC124220	NKI_17	-0.103
TMCC2	NKI_17	-0.139
DACH1	NKI_17	-0.223
HMGCL	NKI_17	0.071
NCOA7	NKI_17	-0.158
FSCN1	NKI_17	0.006
KCNN4	NKI_17	-0.369
CPEB2	NKI_17	0.071
CYP2B6	NKI_17	-0.012
AKR7A3	NKI_17	-0.187
FLJ20273	NKI_17	-0.075
JMJD2B	NKI_17	0.307
CDK2AP1	NKI_17	-0.069
HEXIM1	NKI_17	0.154
SH2D2A	NKI_17	-0.215
IFNAR2	NKI_17	-0.105
ASNS	NKI_17	-0.098
MLZE	NKI_17	-0.152
SKP1A	NKI_17	0.198
MYO5C	NKI_17	-0.107
APOBEC3B	NKI_17	-0.354
LRBA	NKI_17	-0.001
UBXD3	NKI_17	0.107
DSC2	NKI_17	-0.408
TEGT	NKI_17	0.062
EML4	NKI_17	-0.071
KARCA1	NKI_17	-0.107
GATA3	NKI_23	0.088
CA12	NKI_23	0.13
THSD4	NKI_23	0.199
AFF3	NKI_23	0.361
TBC1D9	NKI_23	0.129
FOXA1	NKI_23	0.06
GREB1	NKI_23	-0.369
DNALI1	NKI_23	0.089
VGLL1	NKI_23	-0.37
PRR15	NKI_23	0.03
SLC7A2	NKI_23	-0.142
XBP1	NKI_23	0.354
SCUBE2	NKI_23	0.142
MYB	NKI_23	0.212
B3GNT5	NKI_23	-0.236
CELSR1	NKI_23	0.242
NAT1	NKI_23	-0.539
MAGED2	NKI_23	0.312
VAV3	NKI_23	-0.035
FBP1	NKI_23	0.246
BCL11A	NKI_23	-0.144
SOD2	NKI_23	-0.39
AGR2	NKI_23	0.04
ERBB4	NKI_23	0.583
TNFRSF21	NKI_23	-0.17
PHGDH	NKI_23	-0.25
TFF3	NKI_23	-0.695
STS-1	NKI_23	-0.314
TCEAL1	NKI_23	0.22
GABRP	NKI_23	-0.184
FLJ21127	NKI_23	0.178
BCL2	NKI_23	0.288
MOAP1	NKI_23	0.028
ACOT4	NKI_23	-0.203
YBX1	NKI_23	-0.039
SOD2	NKI_23	-0.478
MREG	NKI_23	0.003
CDH3	NKI_23	0.013
C10orf38	NKI_23	0.219
RARRES1	NKI_23	-0.15
ABTB2	NKI_23	-0.186
RERG	NKI_23	0.089
ST8SIA1	NKI_23	-0.088
SIRPA	NKI_23	-0.42
MICALL1	NKI_23	-0.085
CDCA7	NKI_23	-0.76
ERBB4	NKI_23	0.497
QSCN6L1	NKI_23	-0.358
CYP2B6	NKI_23	-0.625
CIRBP	NKI_23	0.169
ERBB3	NKI_23	0.159
CHCHD5	NKI_23	0.12
LOC124220	NKI_23	0.049
TMCC2	NKI_23	-0.071
DACH1	NKI_23	0.323
HMGCL	NKI_23	-0.101
NCOA7	NKI_23	-0.14
FSCN1	NKI_23	-0.198
KCNN4	NKI_23	-0.153
CPEB2	NKI_23	0.045
